0,104
0,086
0,08
0,092
0,099
0,098
0,107
0,117
0,105
0,093
0,086
0,091
0,082
0,105
0,114
0,108
0,094
0,099
0,086
0,093
0,092
0,105
0,077
0,107
0,096
0,088
0,1
0,106
0,105
0,104
0,11
0,115
0,093
0,103
0,101
0,106
0,103
0,113
0,11
0,111
0,093
0,091
0,096
0,1
0,097
0,096
0,104
0,116
0,093
0,109
0,107
0,102
0,106
0,106
0,118
0,101
0,101
0,09
0,101
0,101
0,098
0,098
0,107
0,101
0,086
0,103
0,088
0,094
0,1
0,097
0,106
0,116
0,077
0,09
0,095
0,093
0,101
0,104
0,106
0,116
0,103
0,091
0,078
0,091
0,094
0,096
0,099
0,107
0,115
0,103
0,112
0,116
0,102
0,098
0,095
0,097
0,098
0,099
0,097
0,103
